"Title","Description","Status","Type"
"Frontend: UI Kalkulator Bisnis","Membuat form input transaksi harian untuk Merchant dengan pemisahan omset dan pajak PBJT otomatis.","New","Feature"
"Frontend: Modul e-Consent (SKDR)","Halaman Term & Condition untuk persetujuan Surat Kuasa Pendebetan Rekening saat registrasi akun M-PAD.","New","Feature"
"Frontend: Dashboard Riwayat AFT","Menampilkan total omset harian dan riwayat pajak yang telah sukses didebet oleh Bank Sultra.","New","Feature"
"Backend: AFT Trigger Engine","Membuat worker/job queue untuk menembak API Auto-Debit (Direct Debit) Bank Sultra secara realtime/batch.","New","Feature"
"Backend: Webhook Receiver BPD","Membuat endpoint API untuk menerima notifikasi dari Bank Sultra bahwa dana pembayaran konsumen telah masuk ke rekening Merchant.","New","Feature"
"Backend: Sistem Rekonsiliasi Otomatis","Algoritma pencocokan nilai AFT yang berhasil dipotong dengan nilai input di Kalkulator Bisnis.","New","Feature"
"H2H Bank: API Auto-Debit (BPD)","Koordinasi dengan Bank Sultra untuk mengekspos endpoint API pemotongan saldo otomatis (Direct Debit).","New","Task"
"Pengawasan: Modul Uji Petik Digital","Fitur untuk petugas inspektorat mencatat hasil pantauan lapangan dan membandingkannya dengan data input kalkulator bisnis merchant.","New","Feature"
"Pengawasan: Dashboard Anomali","Sistem deteksi dini untuk merchant dengan transaksi mencurigakan atau input kalkulator bisnis yang anomali.","New","Feature"
"Legal: Draft PKS Bebas Biaya AFT","Menyiapkan dokumen perjanjian dengan Bank Sultra agar transaksi AFT pajak dibebaskan dari biaya admin.","New","Task"
"Legal: Draft Surat Kuasa Elektronik","Menyiapkan kalimat hukum untuk syarat e-Consent merchant agar tidak melanggar UU Kerahasiaan Perbankan.","New","Task"
