Kelas,Batas Bawah (Rp/m2),Batas Atas (Rp/m2),NJOP Bangunan (Rp/m2)
1,"14,700,000","15,800,000","15,250,000"
2,"13,600,000","14,700,000","14,150,000"
3,"12,550,000","13,600,000","13,075,000"
4,"11,550,000","12,550,000","12,050,000"
5,"10,600,000","11,550,000","11,075,000"
6,"9,700,000","10,600,000","10,150,000"
7,"8,850,000","9,700,000","9,275,000"
8,"8,500,000","8,850,000","8,675,000"
9,"7,300,000","8,500,000","7,900,000"
10,"6,600,000","7,300,000","6,950,000"
11,"5,850,000","6,600,000","6,225,000"
12,"5,150,000","5,850,000","5,500,000"
13,"4,500,000","5,150,000","4,825,000"
14,"3,900,000","4,500,000","4,200,000"
15,"3,350,000","3,900,000","3,625,000"
16,"2,850,000","3,350,000","3,100,000"
17,"2,400,000","2,850,000","2,625,000"
18,"2,000,000","2,400,000","2,200,000"
19,"1,666,000","2,000,000","1,833,000"
20,"1,366,000","1,666,000","1,516,000"
21,"1,034,000","1,366,000","1,200,000"
22,902,"1,034,000",968
23,744,902,823
24,656,744,700
25,534,656,595
26,476,534,505
27,382,476,429
28,348,382,365
29,272,348,310
30,256,272,264
31,194,256,225
32,188,194,191
33,136,188,162
34,128,136,132
35,104,128,116
36,92,104,98
37,74,92,83
38,68,74,71
39,52,68,60
40,-,52,50
