Kelas,Batas Bawah (Rp/m2),Batas Atas (Rp/m2),NJOP Bumi (Rp/m2)
1,"67,390,000","69,700,000","68,545,000"
2,"65,120,000","67,390,000","66,255,000"
3,"62,890,000","65,120,000","64,005,000"
4,"60,700,000","62,890,000","61,795,000"
5,"58,550,000","60,700,000","59,625,000"
6,"56,440,000","58,550,000","57,495,000"
7,"54,370,000","56,440,000","55,405,000"
8,"52,340,000","54,370,000","53,355,000"
9,"50,350,000","52,340,000","51,345,000"
10,"48,400,000","50,350,000","49,375,000"
11,"46,490,000","48,400,000","47,445,000"
12,"44,620,000","46,490,000","45,555,000"
13,"42,790,000","44,620,000","43,705,000"
14,"41,000,000","42,790,000","41,895,000"
15,"39,250,000","41,000,000","40,125,000"
16,"37,540,000","39,250,000","38,395,000"
17,"35,870,000","37,540,000","36,705,000"
18,"34,240,000","35,870,000","35,055,000"
19,"32,650,000","34,240,000","33,445,000"
20,"31,100,000","32,650,000","31,875,000"
21,"29,590,000","31,100,000","30,345,000"
22,"28,120,000","29,590,000","28,855,000"
23,"26,690,000","28,120,000","27,405,000"
24,"25,300,000","26,690,000","25,995,000"
25,"23,950,000","25,300,000","24,625,000"
26,"22,640,000","23,950,000","23,295,000"
27,"21,370,000","22,640,000","22,005,000"
28,"20,140,000","21,370,000","20,755,000"
29,"18,950,000","20,140,000","19,545,000"
30,"17,800,000","18,950,000","18,375,000"
31,"16,690,000","17,800,000","17,245,000"
32,"15,620,000","16,690,000","16,155,000"
33,"14,590,000","15,620,000","15,105,000"
34,"13,600,000","14,590,000","14,095,000"
35,"12,650,000","13,600,000","13,125,000"
36,"11,740,000","12,650,000","12,195,000"
37,"10,870,000","11,740,000","11,305,000"
38,"10,040,000","10,870,000","10,455,000"
39,"9,250,000","10,040,000","9,645,000"
40,"8,500,000","9,250,000","8,875,000"
41,"7,790,000","8,500,000","8,145,000"
42,"7,120,000","7,790,000","7,455,000"
43,"6,490,000","7,120,000","6,805,000"
44,"5,900,000","6,490,000","6,195,000"
45,"5,350,000","5,900,000","5,625,000"
46,"4,840,000","5,350,000","5,095,000"
47,"4,370,000","4,840,000","4,605,000"
48,"3,940,000","4,370,000","4,155,000"
49,"3,550,000","3,940,000","3,745,000"
50,"3,200,000","3,550,000","3,375,000"
51,"3,000,000","3,200,000","3,100,000"
52,"2,850,000","3,000,000","2,925,000"
53,"2,708,000","2,850,000","2,779,000"
54,"2,573,000","2,708,000","2,640,000"
55,"2,444,000","2,573,000","2,508,000"
56,"2,261,000","2,444,000","2,352,000"
57,"2,091,000","2,261,000","2,176,000"
58,"1,934,000","2,091,000","2,013,000"
59,"1,789,000","1,934,000","1,862,000"
60,"1,655,000","1,789,000","1,722,000"
61,"1,490,000","1,655,000","1,573,000"
62,"1,341,000","1,490,000","1,416,000"
63,"1,207,000","1,341,000","1,274,000"
64,"1,086,000","1,207,000","1,147,000"
65,977,"1,086,000","1,032,000"
66,855,977,916
67,748,855,802
68,655,748,702
69,573,655,614
70,501,573,537
71,426,501,464
72,362,426,394
73,308,362,335
74,262,308,285
75,223,262,243
76,178,223,200
77,142,178,160
78,114,142,128
79,91,114,103
80,73,91,82
81,55,73,64
82,41,55,48
83,31,41,36
84,23,31,27
85,17,23,20
86,12,17,14
87,"8,4",12,10
88,"5,9","8,4","7,15"
89,"4,1","5,9",5
90,"2,9","4,1","3,5"
91,2,"2,9","2,45"
92,"1,4",2,"1,7"
93,"1,05","1,4","1,2"
94,760,"1,05",910
95,550,760,660
96,410,550,480
97,310,410,350
98,240,310,270
99,170,240,200
100,-,170,140
